project_id,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,land_acquired_till_now_ha,sanction_count,sanction_number,sanction_date,sanction_date_iso,sanction_amount,sanction_amount_total,first_sanction_date,last_sanction_date,num_3a,num_3A,num_3D,total_notifications,first_3a_date,last_3a_date,first_3A_date,last_3A_date,first_3D_date,last_3D_date,first_notification_date,last_notification_date,land_available_pct,land_acquisition_progress_pct,land_remaining_to_acquire_ha,days_3a_to_3A,days_3A_to_3D,days_3a_to_3D,notification_active_span_days,latest_stage,stage_3D_reached,source_url
59467,Acquisition of land in respect of National Highway No. 22 (New NH-05) in the State of Himachal Pradesh on the stretch from km 284/700 to 285/100 in village Jhakri,MO/2020/59467,2.7177,0,2.7177,0,1,RW/NH-12014/920/2015/HP/NH-1 RW/NH-12014/920/2015/HP/NH-,13/03/2015,2015-03-13,4.76,4.76,2015-03-13,2015-03-13,2,2,0,4,2016-05-10,2016-05-10,2016-05-30,2016-05-30,,,2016-05-10,2016-05-30,0.0,0.0,2.7177,20,,,20,3A,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59467
59691,"Land acquisition from km 97/000 to km 106/120(Gumma-Fediz section) of the National Highway No. 707 (Old NH no. 72 B) for (widening/ intermediate lane etc) maintenance, management and operation in the State of Himachal Pradesh",MO/2020/59691,26.22,20,6.22,0,1,RW/NH- 12014/05/2020.HP/PKG-V/EAP,11/08/2020,2020-08-11,125.76,125.76,2020-08-11,2020-08-11,2,2,2,6,2020-12-03,2020-12-03,2020-12-29,2020-12-29,2021-04-07,2021-04-07,2020-12-03,2021-04-07,76.2777,0.0,6.22,26,99,125,125,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59691
59702,Land Acquisition from KM 35/0 to 66/275 of Pinjore - Nalagarh - Swarghat road NH-21A ( New NH-105) in the State of Himachal Pradesh .,MO/2020/59702,75.163,50.76,24.403,0,1,RW/NH-12018/144/2016/HP/NH-1 1,09/06/2016,2016-06-09,55.3,55.3,2016-06-09,2016-06-09,2,0,0,2,2006-05-12,2006-05-12,,,,,2006-05-12,2006-05-12,67.5332,0.0,24.403,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59702
57819,Project Details Rehabilitation and Upgrading to 2 lanes /2 lanes with paved Shoulders Configuration and Strengthening of Hamirpur to Mandi section ( 141/0 to 265/0 ) of NH -70 in the state of Himachal Pradesh .,MO/2018/57819,255.6768,95.198,160.4788,1.58461,1,RW/NH-12014/06/2020/HP/Package-I/EAP /-12014/06/2020//-I/,17/04/2020,2020-04-17,2860134998,2860134998,2020-04-17,2020-04-17,4,30,22,56,2015-09-11,2020-06-25,2015-12-03,2026-07-07,2020-06-29,2022-04-28,2015-09-11,2026-07-07,37.2337,0.9874,158.89419,83,1670,1753,3952,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57819
59830,Construction of 180.0 mtr. span bowstring bridge on Markanda at Kilometer 64/630 on NH-72 (New NH-07) in the State of Himachal Pradesh.,MO/2021/59830,0.486,0.427,0.059,0,1,NH-72(07)-HP-2020-21-519 NH-72(07)-HP-2020-21-519,03/03/2021,2021-03-03,316331000,316331000,2021-03-03,2021-03-03,2,2,2,6,2021-03-02,2021-03-02,2021-05-06,2021-05-06,2021-10-08,2021-10-08,2021-03-02,2021-10-08,87.8601,0.0,0.059,65,155,220,220,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59830
59854,Up gradation to National Highway Intermediate lane (NHIL) specification with hard shoulder of km 75.00 to 151.00 Kaza NH-505 in the state of Himachal Pradesh.,MO/2021/59854,40.5554,0,40.5554,0,1,NH-12037/03/2020/HP/Z-I,03/03/2021,2021-03-03,3146681213,3146681213,2021-03-03,2021-03-03,2,4,2,8,2021-03-25,2021-03-25,2021-10-18,2024-06-20,2022-08-02,2022-08-02,2021-03-25,2024-06-20,0.0,0.0,40.5554,207,288,495,1183,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59854
59855,Up gradation to National Highway Intermediate lane (NHIL) specification with hard shoulder of km 0.00 to 75.00 Kaza NH-505 in the state of Himachal Pradesh.,MO/2021/59855,69.237,24.8002,44.4368,0.0065,1,RO/HP/Works(262) SKG PKG-IV/2023-24 RW/NH-12012/01/2019/HP/EAP,15/03/2024,2024-03-15,5180900000,5180900000,2024-03-15,2024-03-15,2,4,0,6,2021-03-25,2021-03-25,2024-06-24,2025-09-02,,,2021-03-25,2025-09-02,35.8193,0.0146,44.4303,1187,,,1622,3A,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59855
60616,Land acquisition for widening including metalling tarring for the damaged portion between Km 13/800 to 14/00 on NH-907A in the state of Himachal Pradesh-reg.,MO/2022/60616,0.26,0.1209,0.1391,0,1,RO/HP/Works(274)/2022-23 RO/HP/Works(274)/2022-23,16/08/2022,2022-08-16,14200000,14200000,2022-08-16,2022-08-16,2,2,2,6,2022-09-14,2022-09-14,2022-12-08,2022-12-08,2023-02-17,2023-02-17,2022-09-14,2023-02-17,46.5,0.0,0.1391,85,71,156,156,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60616
61164,Land Acquisition for the Work “Widening to 2 lane from Km. 0/00 to 31/00 (Sainj to kandugad) on NH-305 in the State of Himachal Pradesh”.,MO/2024/61164,52,14,38,0.30753,0,,,,,0,,,2,0,0,2,2024-03-14,2024-03-14,,,,,2024-03-14,2024-03-14,26.9231,0.8093,37.69247,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61164
61236,Land Acquisition of Widening to 4-lane of NH-07 from Km. 46/00 to 96/00 of Kala Amb Paonta Sahib Dehradun road in the State of Himachal Pradesh.,MO/2024/61236,187.791,55.436,132.355,0.3534,1,NH-07-HP-2023-24/555 ????-07-????-2023-24/555,01/05/2023,2023-05-01,106400000,106400000,2023-05-01,2023-05-01,2,0,0,2,2024-10-29,2024-10-29,,,,,2024-10-29,2024-10-29,29.5201,0.267,132.0016,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61236
